epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,894.502,0.40331,0.65024,0.91048,0.99741,1,0.995,0.96587,0.24738,0.75036,0.75595,0.000832902,0.000832902,0.000832902
45,911.557,0.41779,0.65102,0.9542,0.99741,1,0.995,0.96587,0.24738,0.75036,0.75595,0.000837361,0.000837361,0.000837361
46,929.091,0.35356,0.63549,0.90417,0.99355,1,0.995,0.96512,0.26524,0.96585,0.75647,0.00084116,0.00084116,0.00084116
47,946.43,0.41367,0.64146,0.90724,0.99355,1,0.995,0.96512,0.26524,0.96585,0.75647,0.000844299,0.000844299,0.000844299
48,963.96,0.45929,0.75769,0.97397,0.99687,1,0.995,0.995,0.25742,0.9125,0.75731,0.000846778,0.000846778,0.000846778
49,981.654,0.35407,0.66681,0.95065,0.99687,1,0.995,0.995,0.25742,0.9125,0.75731,0.000848596,0.000848596,0.000848596
50,999.197,0.3652,0.66934,0.88827,0.99769,1,0.995,0.98722,0.25139,0.67306,0.76643,0.000849755,0.000849755,0.000849755
51,1016.85,0.40628,0.68893,0.92738,0.99769,1,0.995,0.98722,0.25139,0.67306,0.76643,0.000841835,0.000841835,0.000841835
52,1034.08,0.386,0.67667,0.94374,0.99776,1,0.995,0.995,0.24958,0.64785,0.76012,0.000825332,0.000825332,0.000825332
53,1052.35,0.40739,0.63134,0.92237,0.99776,1,0.995,0.995,0.24958,0.64785,0.76012,0.000808828,0.000808828,0.000808828
54,1070.05,0.38716,0.64044,0.91386,0.99771,1,0.995,0.97634,0.25382,0.6786,0.75727,0.000792325,0.000792325,0.000792325
55,1087.49,0.40095,0.60567,0.90254,0.99771,1,0.995,0.97634,0.25382,0.6786,0.75727,0.000775822,0.000775822,0.000775822
56,1105.02,0.41191,0.7075,0.95773,0.9977,1,0.995,0.995,0.2523,0.75925,0.75443,0.000759318,0.000759318,0.000759318
57,1121.57,0.39963,0.65316,0.91675,0.9977,1,0.995,0.995,0.2523,0.75925,0.75443,0.000742815,0.000742815,0.000742815
58,1138.35,0.37743,0.61837,0.91855,0.99742,1,0.995,0.9893,0.22737,0.73257,0.74258,0.000726312,0.000726312,0.000726312
59,1154.83,0.36186,0.64756,0.94593,0.99742,1,0.995,0.9893,0.22737,0.73257,0.74258,0.000709809,0.000709809,0.000709809
60,1171.67,0.40801,0.64604,0.97572,0.99779,1,0.995,0.995,0.21523,0.61873,0.7339,0.000693305,0.000693305,0.000693305
61,1187.94,0.37026,0.60077,0.94754,0.99779,1,0.995,0.995,0.21523,0.61873,0.7339,0.000676802,0.000676802,0.000676802
62,1204.24,0.3092,0.57921,0.87513,0.99775,1,0.995,0.99085,0.21233,0.58758,0.73878,0.000660299,0.000660299,0.000660299
