epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.756,0.62251,2.78588,0.89365,1,0.17954,0.52782,0.45005,0.52672,2.86062,0.7904,0.00021671,0.00021671,0.00021671
2,423.457,0.59907,1.1334,0.87253,0.00739,0.97142,0.73241,0.64615,0.49381,2.8673,0.79586,0.000448605,0.000448605,0.000448605
3,627.64,0.58486,0.91883,0.86613,1,0.18589,0.7594,0.69014,0.4709,2.60018,0.80279,0.000678959,0.000678959,0.000678959
4,825.217,0.55974,0.83256,0.85769,1,0.43141,0.87551,0.78509,0.47885,2.13938,0.80822,0.000907773,0.000907773,0.000907773
5,1022.18,0.5684,0.84509,0.87452,1,0.82495,0.97102,0.84244,0.54532,1.86117,0.82031,0.00113505,0.00113505,0.00113505
6,1211.58,0.57333,0.76056,0.86537,0.96877,0.92608,0.97948,0.85367,0.49712,1.35244,0.81845,0.00136078,0.00136078,0.00136078
7,1415.05,0.54819,0.75992,0.85928,0.99101,0.92784,0.97909,0.86706,0.48097,1.10179,0.80941,0.00158497,0.00158497,0.00158497
8,1612.44,0.54985,0.72141,0.8645,0.98461,0.95422,0.98588,0.87168,0.46985,0.88095,0.80753,0.00162849,0.00162849,0.00162849
9,1810.98,0.53987,0.69871,0.8636,0.97797,0.95271,0.9889,0.89727,0.43923,0.78201,0.80524,0.00162299,0.00162299,0.00162299
10,2005.49,0.51405,0.64717,0.85477,0.98895,0.97675,0.99143,0.89918,0.4134,0.61865,0.80168,0.00161749,0.00161749,0.00161749
11,2199.87,0.5054,0.62023,0.84788,0.99898,0.98522,0.99364,0.89056,0.42461,0.58715,0.79618,0.00161199,0.00161199,0.00161199
12,2390.54,0.50241,0.60712,0.83736,0.99602,0.97765,0.99274,0.89432,0.42763,0.57995,0.79886,0.00160649,0.00160649,0.00160649
13,2576.14,0.4834,0.57422,0.83165,0.99134,0.98246,0.99345,0.90663,0.40267,0.5489,0.79802,0.00160099,0.00160099,0.00160099
14,2762.21,0.47796,0.57303,0.84945,0.99336,0.98855,0.99407,0.89791,0.40666,0.48883,0.79818,0.00159549,0.00159549,0.00159549
15,2958.39,0.50794,0.55309,0.84336,0.99542,0.99227,0.99438,0.90442,0.41348,0.48775,0.8027,0.00158998,0.00158998,0.00158998
16,3157.41,0.49767,0.5369,0.84035,0.99773,0.99097,0.99495,0.91381,0.38535,0.48678,0.79963,0.00158448,0.00158448,0.00158448
17,3353.48,0.48683,0.52883,0.84469,0.99346,0.99474,0.99498,0.92387,0.38103,0.46712,0.79427,0.00157898,0.00157898,0.00157898
18,3546.62,0.46811,0.50667,0.84447,0.99652,0.98846,0.99466,0.93174,0.35592,0.44537,0.79406,0.00157348,0.00157348,0.00157348
19,3741.32,0.45809,0.48958,0.83224,0.99649,0.98998,0.99493,0.92421,0.37062,0.43392,0.79082,0.00156798,0.00156798,0.00156798
20,3933.9,0.44932,0.47416,0.83169,0.99081,0.99456,0.99489,0.91627,0.38406,0.42214,0.7973,0.00156248,0.00156248,0.00156248
21,4118.2,0.46408,0.46419,0.84624,0.99592,0.99247,0.99495,0.91699,0.37819,0.40051,0.79284,0.00155698,0.00155698,0.00155698
22,4304.78,0.46374,0.45407,0.83954,0.99322,0.99549,0.995,0.92595,0.3681,0.40111,0.7949,0.00155148,0.00155148,0.00155148
23,4490.78,0.45834,0.44999,0.8354,0.99153,0.99688,0.99496,0.93147,0.35536,0.38275,0.79073,0.00154598,0.00154598,0.00154598
24,4672.67,0.45422,0.45951,0.84565,0.99599,0.99611,0.995,0.92689,0.36086,0.3811,0.7924,0.00154047,0.00154047,0.00154047
25,4854.12,0.43887,0.43304,0.83479,0.99949,0.99509,0.995,0.93331,0.35213,0.36821,0.78935,0.00153497,0.00153497,0.00153497
26,5047.46,0.43092,0.41696,0.83781,0.99877,0.99619,0.995,0.94519,0.32471,0.35275,0.78635,0.00152947,0.00152947,0.00152947
27,5229.7,0.42176,0.40705,0.83341,0.99795,0.99747,0.995,0.93753,0.34593,0.3637,0.78827,0.00152397,0.00152397,0.00152397
28,5415.76,0.44279,0.42348,0.83544,0.99877,0.99674,0.995,0.93354,0.35146,0.36046,0.78953,0.00151847,0.00151847,0.00151847
29,5611.29,0.42898,0.40607,0.83036,0.99947,0.99513,0.995,0.93364,0.34828,0.34968,0.79069,0.00151297,0.00151297,0.00151297
30,5799.6,0.46564,0.41908,0.83987,0.99523,0.99072,0.99496,0.93827,0.34658,0.34761,0.79274,0.00150747,0.00150747,0.00150747
31,5990.53,0.42078,0.39638,0.8311,0.99332,0.99423,0.99496,0.93978,0.3278,0.34447,0.7886,0.00150197,0.00150197,0.00150197
32,6177.76,0.41811,0.38494,0.82068,0.99737,0.99423,0.995,0.94094,0.32861,0.32727,0.78858,0.00149647,0.00149647,0.00149647
33,6363.69,0.41931,0.39402,0.83268,0.99805,0.9905,0.99498,0.94662,0.31851,0.31747,0.78542,0.00149096,0.00149096,0.00149096
34,6547.77,0.39895,0.36212,0.82445,0.99384,0.99072,0.99496,0.94573,0.31508,0.32212,0.78602,0.00148546,0.00148546,0.00148546
35,6731.33,0.41503,0.39018,0.84238,0.99364,0.9978,0.99498,0.94304,0.32967,0.3225,0.78738,0.00147996,0.00147996,0.00147996
36,6915.19,0.39593,0.37799,0.82972,0.99575,0.99456,0.99438,0.94559,0.33514,0.32801,0.79116,0.00147446,0.00147446,0.00147446
37,7097.24,0.40527,0.36857,0.8198,0.99632,0.99704,0.995,0.9433,0.31175,0.3071,0.78661,0.00146896,0.00146896,0.00146896
38,7281.32,0.42276,0.3752,0.83078,0.99667,0.99414,0.99498,0.93556,0.34666,0.31581,0.79043,0.00146346,0.00146346,0.00146346
39,7461.26,0.41714,0.37492,0.82347,0.99615,0.99661,0.995,0.9466,0.31753,0.30965,0.78689,0.00145796,0.00145796,0.00145796
40,7644.06,0.42228,0.36464,0.82545,0.99964,0.99467,0.99498,0.94712,0.32917,0.30486,0.78693,0.00145246,0.00145246,0.00145246
41,7827.36,0.41647,0.36316,0.83313,0.9984,0.99781,0.995,0.95293,0.30703,0.28963,0.78373,0.00144696,0.00144696,0.00144696
42,8009.69,0.41717,0.35412,0.83704,0.99892,0.99588,0.995,0.93401,0.34224,0.29901,0.79075,0.00144145,0.00144145,0.00144145
43,8192.56,0.40732,0.35601,0.82828,0.99887,0.99758,0.995,0.94383,0.31587,0.2911,0.78496,0.00143595,0.00143595,0.00143595
44,8373.2,0.42012,0.35815,0.81762,0.99974,0.99798,0.995,0.93165,0.32752,0.30095,0.78615,0.00143045,0.00143045,0.00143045
45,8558.84,0.42845,0.35834,0.83841,0.9955,0.99674,0.99491,0.93704,0.35208,0.29034,0.79219,0.00142495,0.00142495,0.00142495
46,8738.96,0.40763,0.34728,0.83045,0.995,0.99282,0.995,0.94778,0.3072,0.28194,0.7857,0.00141945,0.00141945,0.00141945
47,8921.48,0.41346,0.34888,0.83695,0.99734,0.99815,0.995,0.94674,0.3056,0.27384,0.78537,0.00141395,0.00141395,0.00141395
48,9108.66,0.39497,0.3315,0.82836,0.99941,0.98747,0.99491,0.95269,0.32119,0.2781,0.78571,0.00140845,0.00140845,0.00140845
49,9295.39,0.40026,0.33687,0.83361,0.99816,0.99092,0.99491,0.95765,0.29682,0.26862,0.78246,0.00140295,0.00140295,0.00140295
50,9479.06,0.40087,0.33096,0.83104,0.99736,0.99825,0.995,0.95355,0.30369,0.2637,0.78375,0.00139745,0.00139745,0.00139745
51,9661.28,0.3925,0.32899,0.82899,0.99719,0.99762,0.995,0.95995,0.28847,0.26856,0.78192,0.00139195,0.00139195,0.00139195
52,9847.96,0.3824,0.3293,0.82457,0.9971,0.99751,0.99495,0.95482,0.30724,0.26771,0.78408,0.00138644,0.00138644,0.00138644
53,10035.7,0.37314,0.32306,0.82283,0.99753,0.99589,0.99491,0.9614,0.29539,0.26233,0.78279,0.00138094,0.00138094,0.00138094
54,10220.9,0.37633,0.31389,0.81911,0.99507,0.99825,0.99498,0.95713,0.30139,0.25555,0.7885,0.00137544,0.00137544,0.00137544
55,10408.7,0.38327,0.31808,0.82836,0.9964,0.99298,0.99498,0.95535,0.28746,0.25136,0.78218,0.00136994,0.00136994,0.00136994
56,10592.3,0.38474,0.32251,0.83377,0.99646,0.99803,0.99498,0.95825,0.2968,0.25772,0.78102,0.00136444,0.00136444,0.00136444
57,10775.8,0.38383,0.32562,0.83335,0.99719,0.99634,0.99493,0.95559,0.29863,0.26124,0.78278,0.00135894,0.00135894,0.00135894
58,10961.2,0.38391,0.31744,0.82562,0.99609,0.99423,0.99496,0.95499,0.29366,0.2504,0.78407,0.00135344,0.00135344,0.00135344
59,11148.1,0.4045,0.32843,0.82757,0.99771,0.99591,0.995,0.94466,0.30992,0.26765,0.78416,0.00134794,0.00134794,0.00134794
60,11334.4,0.39131,0.32222,0.82447,0.99659,0.99618,0.99496,0.9596,0.3033,0.25172,0.78305,0.00134244,0.00134244,0.00134244
61,11518.5,0.40089,0.32604,0.83076,0.99943,0.99474,0.99498,0.95368,0.29279,0.25587,0.78154,0.00133693,0.00133693,0.00133693
62,11700.2,0.38413,0.32938,0.83283,0.99901,0.99649,0.995,0.957,0.29867,0.25865,0.78417,0.00133143,0.00133143,0.00133143
63,11880.4,0.36423,0.30932,0.82119,0.99897,1,0.995,0.94941,0.3071,0.2572,0.78348,0.00132593,0.00132593,0.00132593
64,12063.5,0.3709,0.30952,0.82635,0.99913,0.99649,0.995,0.96003,0.28568,0.25333,0.78198,0.00132043,0.00132043,0.00132043
65,12246,0.38138,0.32482,0.81796,0.99631,0.99645,0.99489,0.95891,0.29223,0.25731,0.78206,0.00131493,0.00131493,0.00131493
66,12426.9,0.38964,0.32057,0.8286,0.99716,0.99825,0.99498,0.96242,0.27516,0.24399,0.78043,0.00130943,0.00130943,0.00130943
67,12607.1,0.36571,0.29818,0.81744,0.99946,0.99644,0.995,0.96047,0.28727,0.2428,0.78059,0.00130393,0.00130393,0.00130393
68,12791.6,0.39524,0.3117,0.81868,0.99951,0.99684,0.995,0.96011,0.28252,0.23749,0.78107,0.00129843,0.00129843,0.00129843
69,12983.1,0.38712,0.31455,0.82932,0.99806,0.9977,0.995,0.9664,0.27463,0.24075,0.78001,0.00129293,0.00129293,0.00129293
70,13167.4,0.35328,0.29961,0.81448,0.99957,0.99825,0.995,0.95369,0.29557,0.23799,0.78126,0.00128742,0.00128742,0.00128742
71,13350.4,0.35437,0.2951,0.80781,0.99857,0.99825,0.995,0.96449,0.27654,0.23377,0.77768,0.00128192,0.00128192,0.00128192
72,13533.2,0.35437,0.29668,0.80894,0.99796,0.99969,0.995,0.95902,0.28571,0.2459,0.78031,0.00127642,0.00127642,0.00127642
73,13714.4,0.36373,0.30646,0.82419,0.99949,0.99801,0.995,0.96536,0.28019,0.23895,0.78104,0.00127092,0.00127092,0.00127092
74,13894.4,0.35691,0.29389,0.81607,0.99969,0.99708,0.995,0.96306,0.28968,0.23497,0.78192,0.00126542,0.00126542,0.00126542
