epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.015,0.6514,3.5163,0.92608,0.01961,1,0.17146,0.13159,0.38243,3.40559,0.80087,0.00011669,0.00011669,0.00011669
2,234.188,0.51309,1.60344,0.82753,1,0.39406,0.97381,0.8225,0.54057,2.36363,0.78919,0.000249225,0.000249225,0.000249225
3,330.75,0.53776,1.08341,0.83289,0.99082,0.13393,0.94439,0.82452,0.50735,2.47107,0.78386,0.000380879,0.000380879,0.000380879
4,428.361,0.50782,0.91539,0.82826,1,0.10063,0.94726,0.86142,0.44302,2.53061,0.78297,0.000511654,0.000511654,0.000511654
5,525.602,0.52616,0.82132,0.83951,1,0.41855,0.96299,0.87766,0.45235,2.48576,0.80102,0.000641548,0.000641548,0.000641548
6,621.169,0.50638,0.81364,0.84757,1,0.52567,0.98469,0.86842,0.51675,2.2562,0.80885,0.000770562,0.000770562,0.000770562
7,718.083,0.51584,0.74597,0.84474,1,0.98226,0.995,0.91476,0.44212,1.73123,0.79864,0.000898696,0.000898696,0.000898696
8,820.032,0.46868,0.73194,0.8517,0.99821,0.99107,0.995,0.9053,0.45884,1.43684,0.80052,0.00102595,0.00102595,0.00102595
9,916.69,0.47185,0.68874,0.83698,1,0.99553,0.995,0.90729,0.44409,1.20065,0.80048,0.00115232,0.00115232,0.00115232
10,1012.26,0.49706,0.68617,0.84665,1,0.99651,0.995,0.92535,0.39967,1.37645,0.79155,0.00127782,0.00127782,0.00127782
11,1107.42,0.52531,0.71164,0.85953,1,0.99798,0.995,0.9124,0.43124,1.17935,0.80015,0.00140243,0.00140243,0.00140243
12,1202.06,0.54335,0.68771,0.86282,0.9983,1,0.995,0.91753,0.40981,0.93298,0.80185,0.00152616,0.00152616,0.00152616
13,1297.57,0.44906,0.62914,0.83908,0.99794,0.99554,0.995,0.91382,0.43498,0.83288,0.80022,0.00160099,0.00160099,0.00160099
14,1391.88,0.46466,0.63163,0.8167,0.99918,1,0.995,0.90655,0.42803,0.67822,0.79967,0.00159549,0.00159549,0.00159549
15,1485.61,0.49098,0.64854,0.83632,0.99555,0.99893,0.99496,0.92318,0.39691,0.60421,0.7977,0.00158998,0.00158998,0.00158998
16,1580.35,0.47445,0.61033,0.83477,0.9993,1,0.995,0.9207,0.43039,0.55675,0.79882,0.00158448,0.00158448,0.00158448
17,1672.98,0.51434,0.63704,0.84821,1,0.99973,0.995,0.9211,0.41229,0.55292,0.79846,0.00157898,0.00157898,0.00157898
18,1762.15,0.5097,0.61234,0.85533,0.99923,1,0.995,0.91459,0.42742,0.56038,0.80295,0.00157348,0.00157348,0.00157348
19,1852.27,0.47518,0.57529,0.83219,0.99965,1,0.995,0.91383,0.4264,0.52824,0.79957,0.00156798,0.00156798,0.00156798
20,1942.49,0.47841,0.5675,0.85027,1,0.9988,0.995,0.92497,0.38433,0.50115,0.79278,0.00156248,0.00156248,0.00156248
21,2038.3,0.46351,0.54871,0.84681,0.99992,1,0.995,0.92496,0.38219,0.47977,0.79149,0.00155698,0.00155698,0.00155698
22,2133.77,0.45247,0.50336,0.82618,0.99972,1,0.995,0.92318,0.40199,0.46939,0.7939,0.00155148,0.00155148,0.00155148
23,2228.33,0.44439,0.51376,0.83107,0.9996,1,0.995,0.92109,0.39147,0.48404,0.79501,0.00154598,0.00154598,0.00154598
24,2323.19,0.4609,0.53676,0.84466,0.99975,1,0.995,0.93241,0.36363,0.45874,0.78961,0.00154047,0.00154047,0.00154047
25,2417.44,0.43195,0.48641,0.83171,0.99967,1,0.995,0.93942,0.36148,0.43409,0.79187,0.00153497,0.00153497,0.00153497
26,2512.88,0.41145,0.46343,0.82841,0.99969,1,0.995,0.92892,0.35472,0.41316,0.7896,0.00152947,0.00152947,0.00152947
27,2607.38,0.42826,0.46957,0.82435,0.99968,1,0.995,0.92235,0.37866,0.43159,0.7913,0.00152397,0.00152397,0.00152397
28,2700.97,0.43977,0.47784,0.82808,0.99966,1,0.995,0.93518,0.35705,0.42349,0.79289,0.00151847,0.00151847,0.00151847
29,2795.55,0.43285,0.45087,0.83467,0.99956,1,0.995,0.9317,0.36661,0.40409,0.79387,0.00151297,0.00151297,0.00151297
30,2889.04,0.43021,0.46559,0.84981,0.99968,1,0.995,0.95245,0.34505,0.38838,0.78853,0.00150747,0.00150747,0.00150747
31,2977.89,0.41182,0.4468,0.82014,0.99974,1,0.995,0.95629,0.31577,0.39922,0.78297,0.00150197,0.00150197,0.00150197
32,3066.99,0.41269,0.44067,0.84171,0.99969,1,0.995,0.94501,0.33369,0.38389,0.78647,0.00149647,0.00149647,0.00149647
33,3156.61,0.42042,0.42632,0.83267,0.99971,1,0.995,0.93664,0.33628,0.37062,0.78834,0.00149096,0.00149096,0.00149096
34,3244.99,0.40957,0.40928,0.83106,0.99971,1,0.995,0.95393,0.31909,0.35541,0.78688,0.00148546,0.00148546,0.00148546
