epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.489,0.62251,2.78588,0.89365,1,0.17954,0.52782,0.45005,0.52672,2.86062,0.7904,0.00021671,0.00021671,0.00021671
2,412.858,0.5989,1.13349,0.87259,0.00739,0.97142,0.7321,0.64586,0.49361,2.86734,0.79599,0.000448976,0.000448976,0.000448976
3,610.523,0.58519,0.92114,0.86698,1,0.18109,0.75728,0.69044,0.47594,2.59932,0.80354,0.000680087,0.000680087,0.000680087
